model,model_label,variant,wmax_mm,norm_rms_300_1200,norm_rms_exact_300_75_removed,norm_rms_deep_null_cluster_removed,norm_rms_target_above_minus20,norm_rms_through60,norm_rms_through80,worst_error_db,worst_freq_hz,worst_angle_deg,mean_f90_minus_f0_db
compact2,h1659-modal-compact-2,A,205.0,4.215681514985543,4.213540402653166,3.8389558299068485,1.9666723888589932,1.2857451673823306,3.542002146338975,18.115185453570028,300.2929915487766,75.0,-17.957527109633656
compact2,h1659-modal-compact-2,B,305.0,4.219317921512814,4.2170877350901605,3.8256640578804184,1.5940994054637838,1.0093243694173495,3.4965039501004616,18.47644015094226,300.2929915487766,75.0,-16.727841321431928
compact2,h1659-modal-compact-2,C,405.0,3.8911014332701384,3.8887395633220847,3.476279775609133,1.355659239772906,0.6161200416591501,3.2336756982525507,18.197622097598902,300.2929915487766,75.0,-17.66061101793093
compact2,h1659-modal-compact-2,D,505.0,3.780175332734102,3.777721598939183,3.3508805486157716,1.4282986623662643,0.5410083528956623,3.157571631115567,18.254527927938085,300.2929915487766,75.0,-18.335880544257506
modal_full2,h1659-modal-full-2,A,205.0,4.208945771898522,4.206809410197652,3.8328596893323454,1.911739832805883,1.2654043850358194,3.5359244563518986,18.080921869791197,300.2929915487766,75.0,-17.710343577102268
modal_full2,h1659-modal-full-2,B,305.0,4.244133457466221,4.241915186696222,3.8523256970293747,1.5867582846375516,1.0009753877472303,3.507474443316715,18.486587112061088,300.2929915487766,75.0,-16.47741209781709
modal_full2,h1659-modal-full-2,C,405.0,3.904391729731365,3.9020429737567093,3.4918464741047974,1.3234115087040772,0.6054242982081479,3.2380216890940647,18.181767200929798,300.2929915487766,75.0,-17.410329302700408
modal_full2,h1659-modal-full-2,D,505.0,3.7798155336858428,3.777367225975754,3.351540071592489,1.3736567382268372,0.524211443215842,3.1558342791818585,18.234300439116595,300.2929915487766,75.0,-18.089992897903635
axisym_directivity,axisymmetric-directivity,A,205.0,5.3318050744797,5.330259876918455,5.096600170204595,3.2628113578197757,2.0181645765598506,3.89325661396638,17.656872306366445,300.2929915487766,75.0,-18.126845376143034
axisym_directivity,axisymmetric-directivity,B,305.0,4.502603593760629,4.500871523048843,4.258543238066754,2.5234011807791195,1.8941865245405036,3.3796606002421545,16.98441418896202,300.2929915487766,75.0,-17.930337480092092
axisym_directivity,axisymmetric-directivity,C,405.0,4.593268953533272,4.59162950208682,4.380565320727312,3.013907536489912,2.828922824547121,3.627251772343485,16.73526092706252,300.2929915487766,75.0,-18.49181003328288
axisym_directivity,axisymmetric-directivity,D,505.0,5.395887778400306,5.394566771726052,5.23995655388098,4.024407410871384,4.020759399206706,4.3999698327693695,16.560809491996096,300.2929915487766,75.0,-18.983867593785554
