variant,diagnostic_only,rationale,angle_group,wmax_mm,thickness_mm,mic_z_offset_mm,passive_aperture_treatment,mounted_um_cutout,include_passive_um_driver,include_passive_tweeter_drivers,source_model,source_point_profile,source_count,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_vertices,solver_max_relative_residual,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
current_um_face,True,custom CLI variant,0_60,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.456476757792873e-16,300.293 304.321,0.0,60.0,-2.69651179012009,-1.8813656014555094,0.8151461886645806,1.2087158888092382,2.424098968783767,300.2929915487766,60.0
current_um_face,True,custom CLI variant,70_90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.456476757792873e-16,300.293 304.321,70.0,90.0,-23.58416124371215,-12.978738456535691,10.605422787176458,13.943807820859666,19.80589965956863,300.2929915487766,75.0
current_um_face,True,custom CLI variant,80_90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.456476757792873e-16,300.293 304.321,80.0,90.0,-17.416749257095596,-15.86357317062907,1.5531760864665252,1.553580127112153,1.58860567560248,304.321,90.0
current_um_face,True,custom CLI variant,90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.456476757792873e-16,300.293 304.321,90.0,90.0,-17.416749257095596,-15.86357317062907,1.5531760864665252,1.553580127112153,1.58860567560248,304.321,90.0
solid_patch_no_passives,True,custom CLI variant,0_60,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,7.229304511863622e-16,300.293 304.321,0.0,60.0,-2.69651179012009,-1.9459400583083024,0.7505717318117874,1.105842934550609,2.2034605094547786,300.2929915487766,60.0
solid_patch_no_passives,True,custom CLI variant,70_90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,7.229304511863622e-16,300.293 304.321,70.0,90.0,-23.58416124371215,-15.857774528441151,7.726386715270998,13.47695824830795,18.909600840594756,300.2929915487766,75.0
solid_patch_no_passives,True,custom CLI variant,80_90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,7.229304511863622e-16,300.293 304.321,80.0,90.0,-17.416749257095596,-20.73203177817625,-3.315282521080654,3.3161495886704038,3.3911106151882606,300.2929915487766,90.0
solid_patch_no_passives,True,custom CLI variant,90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,7.229304511863622e-16,300.293 304.321,90.0,90.0,-17.416749257095596,-20.73203177817625,-3.315282521080654,3.3161495886704038,3.3911106151882606,300.2929915487766,90.0
open_passive_holes,True,custom CLI variant,0_60,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,7.962710300600542e-16,300.293 304.321,0.0,60.0,-2.69651179012009,-1.937455629725602,0.7590561603944878,1.1181692928657458,2.227804462494106,300.2929915487766,60.0
open_passive_holes,True,custom CLI variant,70_90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,7.962710300600542e-16,300.293 304.321,70.0,90.0,-23.58416124371215,-15.560949881830611,8.023211361881538,13.450857100782066,18.960315226818174,300.2929915487766,75.0
