candidate,angle_group,source_model,source_point_profile,acoustic_center_offset_mm,half_depth_mm,ring_radii_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_regularization,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_area_m2,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
current_d45_r0-35-70-95_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.436070246468478,2.677798950153336,2.1675491399310127,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,0.08949372192717178,2.7860055135447417,3.7319890545115446,6.922557560186739,304.321,60.0
current_d45_r0-35-70-95_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.436070246468478,2.677798950153336,2.1675491399310127,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-7.797863174131626,15.786297928552855,18.166754244054186,24.923053396178197,300.293,75.0
current_d45_r0-35-70-95_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.436070246468478,2.677798950153336,2.1675491399310127,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-10.619968220334961,6.79678105292464,6.7970023623410905,6.851630230447974,304.321,90.0
current_d45_r0-35-70-95_svd1e-5_ac-20mm,90,split-discrete,symmetric_depth_rings,-20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.436070246468478,2.677798950153336,2.1675491399310127,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-10.619968220334961,6.79678105292464,6.7970023623410905,6.851630230447974,304.321,90.0
current_d45_r0-35-70-95_svd1e-5_ac+0mm,0_60,split-discrete,symmetric_depth_rings,0.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.425667868014756,2.381093284497877,2.4694379891703324,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-1.6733560984046938,1.023155693212876,1.5146277252348774,3.14951265614242,300.293,60.0
current_d45_r0-35-70-95_svd1e-5_ac+0mm,70_90,split-discrete,symmetric_depth_rings,0.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.425667868014756,2.381093284497877,2.4694379891703324,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-14.856398971183042,8.72776213150144,14.046322093721036,19.915168251013917,300.293,75.0
current_d45_r0-35-70-95_svd1e-5_ac+0mm,80_90,split-discrete,symmetric_depth_rings,0.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.425667868014756,2.381093284497877,2.4694379891703324,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-19.693902334275062,-2.2771530610154613,2.277382578498429,2.3094848651109174,300.293,90.0
current_d45_r0-35-70-95_svd1e-5_ac+0mm,90,split-discrete,symmetric_depth_rings,0.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.425667868014756,2.381093284497877,2.4694379891703324,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-19.693902334275062,-2.2771530610154613,2.277382578498429,2.3094848651109174,300.293,90.0
current_d45_r0-35-70-95_svd1e-5_ac+20mm,0_60,split-discrete,symmetric_depth_rings,20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.4606144029879826,2.088882782088126,2.783130468210138,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-1.9935878017532667,0.7029239898643034,1.2707525627643097,2.7690670785478204,300.293,60.0
current_d45_r0-35-70-95_svd1e-5_ac+20mm,70_90,split-discrete,symmetric_depth_rings,20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.4606144029879826,2.088882782088126,2.783130468210138,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-10.911807222460478,12.672353880224003,14.88224906316771,20.64096574593055,300.293,75.0
current_d45_r0-35-70-95_svd1e-5_ac+20mm,80_90,split-discrete,symmetric_depth_rings,20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.4606144029879826,2.088882782088126,2.783130468210138,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,-12.546852852156938,4.869896421102663,4.870027483259204,4.905625057117142,300.293,90.0
current_d45_r0-35-70-95_svd1e-5_ac+20mm,90,split-discrete,symmetric_depth_rings,20.0,45.0,0 35 70 95,45.0,45.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.4606144029879826,2.088882782088126,2.783130468210138,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,-12.546852852156938,4.869896421102663,4.870027483259204,4.905625057117142,300.293,90.0
d35_r0-35-70-95_svd1e-5_ac-20mm,0_60,split-discrete,symmetric_depth_rings,-20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.295823548698497,2.5314358245530486,2.0330873566294554,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,4.304268442384684,7.000780234002254,8.597570570830404,14.4321217322018,304.321,60.0
d35_r0-35-70-95_svd1e-5_ac-20mm,70_90,split-discrete,symmetric_depth_rings,-20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.295823548698497,2.5314358245530486,2.0330873566294554,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,3.695807874316852,27.27996897700133,28.33627754173825,34.946825077057774,304.321,75.0
d35_r0-35-70-95_svd1e-5_ac-20mm,80_90,split-discrete,symmetric_depth_rings,-20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.295823548698497,2.5314358245530486,2.0330873566294554,832,0.18508636079717677,300.293 304.321,80.0,90.0,-17.4167492732596,2.1993475810853624,19.616096854344963,19.616758400474602,19.77720037245833,304.321,90.0
d35_r0-35-70-95_svd1e-5_ac-20mm,90,split-discrete,symmetric_depth_rings,-20.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.295823548698497,2.5314358245530486,2.0330873566294554,832,0.18508636079717677,300.293 304.321,90.0,90.0,-17.4167492732596,2.1993475810853624,19.616096854344963,19.616758400474602,19.77720037245833,304.321,90.0
d35_r0-35-70-95_svd1e-5_ac+0mm,0_60,split-discrete,symmetric_depth_rings,0.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.2735898519471744,2.231838342106795,2.3145883531324403,832,0.18508636079717677,300.293 304.321,0.0,60.0,-2.69651179161757,-0.28101686135128645,2.4154949302662834,3.208563470202672,5.906885518670251,304.321,60.0
d35_r0-35-70-95_svd1e-5_ac+0mm,70_90,split-discrete,symmetric_depth_rings,0.0,35.0,0 35 70 95,35.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,1e-06,2.2735898519471744,2.231838342106795,2.3145883531324403,832,0.18508636079717677,300.293 304.321,70.0,90.0,-23.58416110268448,-13.617701242240427,9.966459860444054,16.17777070832529,22.847133974161643,300.293,75.0
