candidate,rms_0_60_db,mean_0_60_db,max_abs_0_60_db,source_model,half_depth_mm,ring_radii_mm,source_point_profile,acoustic_center_offset_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_fit_rms_db_300_1200,rms_70_90_db,mean_70_90_db,max_abs_70_90_db,rms_80_90_db,mean_80_90_db,max_abs_80_90_db,rms_90_db,mean_90_db,max_abs_90_db,hotspot_score_db
d65_r0-25-50-75-95_svd1e-6_ac-20mm,1.4341773166739091,-1.1138011052979195,2.482071837361744,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,-20.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.7046896749975144,7.360907020790827,7.275786302450946,8.357832912757495,8.335011419488001,8.334980090649111,8.357832912757495,8.335011419488001,8.334980090649111,8.357832912757495,7.360907020790827
d65_r0-25-50-75-95_svd1e-5_ac-20mm,1.4354979299531467,-1.1150253901220766,2.4890206742142595,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,-20.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.704741708455638,7.371389449205562,7.295500440667482,8.317353029449848,8.295334600169495,8.29530530037393,8.317353029449848,8.295334600169495,8.29530530037393,8.317353029449848,7.371389449205562
d65_r0-35-70-95_svd1e-5_ac-20mm,1.1300724395179276,-0.8665611991161256,2.008663550868796,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,-20.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,2.7161512056694916,8.002820584336911,7.9913195197217455,8.726264025111455,7.696872300737416,7.6968427869650355,7.718157725463328,7.696872300737416,7.6968427869650355,7.718157725463328,8.002820584336911
d65_r0-35-70-95_svd1e-6_ac-20mm,1.1264182560691383,-0.8636767143065895,1.9982524064709821,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,-20.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-06,2.716109768735566,8.011743872166521,8.001026163607072,8.713881565236079,7.726847849712694,7.726818798558277,7.748007164613924,7.726847849712694,7.726818798558277,7.748007164613924,8.011743872166521
d65_r0-25-50-75-95_svd1e-6_ac+0mm,1.1500998513474299,-0.7892215973013819,1.8668186177219468,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,0.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.718921256826467,9.83368464471985,5.8047252050928275,13.967096944219271,2.1313402530095913,-2.13132373467198,2.139714927845205,2.1313402530095913,-2.13132373467198,2.139714927845205,9.83368464471985
d65_r0-25-50-75-95_svd1e-5_ac+0mm,1.1466026744716984,-0.7889042242517987,1.8532805148574099,split-discrete,65.0,0 25 50 75 95,symmetric_depth_rings,0.0,65.0,65.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.718972515888311,9.855552089655923,5.809991919373191,13.996557841673557,2.1493018354555673,-2.14928097397841,2.158750651221446,2.1493018354555673,-2.14928097397841,2.158750651221446,9.855552089655923
d65_r0-35-70-95_svd1e-6_ac+0mm,0.921347298399478,-0.5951927592967877,1.4809255249075548,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,0.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-06,2.7309324216831476,10.197619605460206,5.763837595531751,14.411372644910571,2.647009027214799,-2.646956664610485,2.6636061640255235,2.647009027214799,-2.646956664610485,2.6636061640255235,10.197619605460206
d65_r0-35-70-95_svd1e-5_ac+0mm,0.9199543906977915,-0.5958953772875176,1.4850148575662345,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,0.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,2.730972575889576,10.2102532843328,5.767141609844673,14.43222978391919,2.6567258937183276,-2.65663358767193,2.6787798109801386,2.6567258937183276,-2.65663358767193,2.6787798109801386,10.2102532843328
h1659-modal-full2-az24-reg1e-06_ac+20mm,0.7039436096788763,0.49274193949040423,1.3560472345295693,split-profile-ring,nan,,h1659-modal-full-2,20.0,nan,nan,,,484,,2.1729586952705495,10.915098307785094,8.903954010575706,15.34367791142315,2.593870080971766,2.5916554296587826,2.6988194669130223,2.593870080971766,2.5916554296587826,2.6988194669130223,10.915098307785094
d55_r0-25-50-75-95_svd1e-6_ac+0mm,0.43642536921492253,-0.17953185309383457,0.9064420720341602,split-discrete,55.0,0 25 50 75 95,symmetric_depth_rings,0.0,55.0,55.0,0 25 50 75 95,0 25 50 75 95,18,1e-06,2.565340613164011,11.740403212743221,7.3823505087336,16.7144420689688,1.7454757487966854,-1.7454692615387302,1.7502281123232777,1.7454757487966854,-1.7454692615387302,1.7502281123232777,11.740403212743221
d55_r0-25-50-75-95_svd1e-5_ac+0mm,0.44115967726047045,-0.1843955600929789,0.915981655674436,split-discrete,55.0,0 25 50 75 95,symmetric_depth_rings,0.0,55.0,55.0,0 25 50 75 95,0 25 50 75 95,18,1e-05,2.5653882773683168,11.743282027556566,7.383881326997601,16.719394776664764,1.7464042119708099,-1.7463917069655288,1.7530005972968823,1.7464042119708099,-1.7463917069655288,1.7530005972968823,11.743282027556566
d55_r0-35-70-95_svd1e-5_ac+0mm,0.3520161608718804,-0.03300249394490464,0.6472166100544356,split-discrete,55.0,0 35 70 95,symmetric_depth_rings,0.0,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.5797654971662367,11.850889874050928,7.159661735460819,16.82128177234815,2.2828249241825085,-2.2827193632382254,2.304672567244623,2.2828249241825085,-2.2827193632382254,2.304672567244623,11.850889874050928
d55_r0-35-70-95_svd1e-6_ac+0mm,0.34973111026987513,-0.028630417189962287,0.638095860716632,split-discrete,55.0,0 35 70 95,symmetric_depth_rings,0.0,55.0,55.0,0 35 70 95,0 35 70 95,14,1e-06,2.579729422027614,11.851567604199,7.157316840613211,16.818432246642452,2.287788487859475,-2.287735118908678,2.3033617274415192,2.287788487859475,-2.287735118908678,2.3033617274415192,11.851567604199
