variant,diagnostic_only,rationale,angle_group,wmax_mm,thickness_mm,mic_z_offset_mm,passive_aperture_treatment,mounted_um_cutout,include_passive_um_driver,include_passive_tweeter_drivers,source_model,source_point_profile,source_count,source_fit_rms_db_300_1200,source_fit_front_rms_db_300_1200,source_fit_rear_rms_db_300_1200,mesh_panels,mesh_vertices,solver_max_relative_residual,freqs_hz,angle_min_deg,angle_max_deg,target_norm_mean_db,sim_norm_mean_db,signed_mean_error_db,rms_error_db,max_abs_error_db,max_abs_error_freq_hz,max_abs_error_angle_deg
solid_patch_no_passives,True,custom CLI variant,0_60,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,8.535710408609083e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,0.0,60.0,-2.788345167371891,-2.178644269161518,0.6097008982103731,0.932180987536336,2.2034605094547786,300.2929915487766,60.0
solid_patch_no_passives,True,custom CLI variant,70_90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,8.535710408609083e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,70.0,90.0,-21.66095839606431,-14.695147011347254,6.965811384717058,9.889508725183617,18.909600840594756,300.2929915487766,75.0
solid_patch_no_passives,True,custom CLI variant,80_90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,8.535710408609083e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,80.0,90.0,-18.76262537638286,-18.272202282269898,0.4904230941129626,2.5345916237720676,3.7392306369026613,599.853562802,90.0
solid_patch_no_passives,True,custom CLI variant,90,305.0,18.3,0.0,none,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,652,482,8.535710408609083e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,90.0,90.0,-18.76262537638286,-18.272202282269898,0.4904230941129626,2.5345916237720676,3.7392306369026613,599.853562802,90.0
open_passive_holes,True,custom CLI variant,0_60,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,9.638246790045265e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,0.0,60.0,-2.788345167371891,-2.1773573026743023,0.6109878646975889,0.9359627484539799,2.227804462494106,300.2929915487766,60.0
open_passive_holes,True,custom CLI variant,70_90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,9.638246790045265e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,70.0,90.0,-21.66095839606431,-14.45403113338185,7.206927262682464,9.918808928865952,18.960315226818174,300.2929915487766,75.0
open_passive_holes,True,custom CLI variant,80_90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,9.638246790045265e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,80.0,90.0,-18.76262537638286,-17.817092618432657,0.9455327579501969,2.5964832003791156,4.060112824143253,599.853562802,90.0
open_passive_holes,True,custom CLI variant,90,305.0,18.3,0.0,open-holes,False,False,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,868,728,9.638246790045265e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,90.0,90.0,-18.76262537638286,-17.817092618432657,0.9455327579501969,2.5964832003791156,4.060112824143253,599.853562802,90.0
current_um_face,True,custom CLI variant,0_60,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.980988074520725e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,0.0,60.0,-2.788345167371891,-2.154201281073742,0.6341438862981489,0.9801641321781196,2.424098968783767,300.2929915487766,60.0
current_um_face,True,custom CLI variant,70_90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.980988074520725e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,70.0,90.0,-21.66095839606431,-12.791808707317616,8.869149688746695,10.527275607390296,19.80589965956863,300.2929915487766,75.0
current_um_face,True,custom CLI variant,80_90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.980988074520725e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,80.0,90.0,-18.76262537638286,-15.007773653205716,3.7548517231771417,4.0336661079011895,5.553330855464253,599.853562802,90.0
current_um_face,True,custom CLI variant,90,305.0,18.3,0.0,andres-mounted,True,True,False,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,872,675,8.980988074520725e-16,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,90.0,90.0,-18.76262537638286,-15.007773653205716,3.7548517231771417,4.0336661079011895,5.553330855464253,599.853562802,90.0
um_plus_tweeter_faces,True,custom CLI variant,0_60,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,1.1533262906741448e-15,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,0.0,60.0,-2.788345167371891,-2.15399806255302,0.6343471048188708,0.9804467668014908,2.424770142458712,300.2929915487766,60.0
um_plus_tweeter_faces,True,custom CLI variant,70_90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,1.1533262906741448e-15,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,70.0,90.0,-21.66095839606431,-12.787010258879192,8.87394813718512,10.529996538696127,19.80818324188786,300.2929915487766,75.0
um_plus_tweeter_faces,True,custom CLI variant,80_90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,1.1533262906741448e-15,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,80.0,90.0,-18.76262537638286,-15.000220725521919,3.7624046508609417,4.040634919595975,5.560839636165213,599.853562802,90.0
um_plus_tweeter_faces,True,custom CLI variant,90,305.0,18.3,0.0,andres-mounted,True,True,True,split_axisymmetric_ring_source,h1659-modal-compact-2,292,1.9592371040643233,2.581385849338775,1.0068103876690213,1112,869,1.1533262906741448e-15,300.293 327.026 356.689 388.916 424.439 462.524 504.639 550.049 599.854,90.0,90.0,-18.76262537638286,-15.000220725521919,3.7624046508609417,4.040634919595975,5.560839636165213,599.853562802,90.0
