target,hdf5_path,driver,group,angle_deg,notes_distance_m,attr_distance_m_before,attr_distance_m_final,distance_status,notes_height_m,attr_height_m_before,attr_height_m_final,notes_height_reference,attr_height_reference_before,attr_height_reference_final,height_reference_status,wrote_distance_attr,wrote_height_attr,wrote_height_reference_attr,note_excerpt
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,0,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,15,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,30,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,45,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,60,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,75,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_front,output/data/polar_data_juan_baffleless.h5,L22MG (nude),angles,90,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,0,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,15,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,30,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,45,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,60,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,75,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_naked_rear,output/data/polar_data_juan_baffleless.h5,L22MG (nude),rear_angles,90,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,present,False,False,False,Measurement distance: 50 cm from driver. Mic height: L22MG/LM.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,0,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,PB -40 DB
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,15,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,30,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,45,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,60,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,75,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_front,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),angles,90,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_rear,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),rear_angles,0,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_rear,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),rear_angles,15,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
juan_l22mg_top_rear,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),rear_angles,30,0.5,0.5,0.5,matches_expected,nan,nan,nan,l22mg,l22mg,l22mg,matches_expected,False,False,False,Measurement distance: 50 cm. Mic height: L22MG/LM. LX521 top baffle mounted; raw/no crossover/no EQ.
