case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
stable,modal-compact2,source_cv_recommended_juan_only,False,6,0_60,-0.8596564980390282,1.4774895589597614,3.686728894401263,635.6778566155772,60.0
stable,modal-compact2,source_cv_recommended_juan_only,False,6,70_90,-5.7071218361786915,7.953680905148619,24.42277895756323,1009.0756983044574,90.0
stable,modal-compact2,source_cv_recommended_juan_only,False,6,80_90,-6.3200589631609025,9.179313018670516,24.42277895756323,1009.0756983044574,90.0
stable,modal-compact2,source_cv_recommended_juan_only,False,6,90,-8.664456107637506,11.375644561700941,24.42277895756323,1009.0756983044574,90.0
stable,modal-full2,source_cv_recommended_juan_only,False,6,0_60,-0.8145167963143504,1.4173589326876617,3.552014102039358,654.3046395991546,60.0
stable,modal-full2,source_cv_recommended_juan_only,False,6,70_90,-5.732360525071958,7.973905486662944,24.352951732012173,1009.0756983044574,90.0
stable,modal-full2,source_cv_recommended_juan_only,False,6,80_90,-6.430843973828943,9.238027737669917,24.352951732012173,1009.0756983044574,90.0
stable,modal-full2,source_cv_recommended_juan_only,False,6,90,-8.91347264148504,11.446032716378673,24.352951732012173,1009.0756983044574,90.0
stable,modal-compact3,source_cv_recommended_juan_only,False,6,0_60,-1.0582901182240452,1.7455582169624668,5.02724775662918,1200.0,60.0
stable,modal-compact3,source_cv_recommended_juan_only,False,6,70_90,-5.1067218456392425,6.742602232984748,18.838108652853236,1009.0756983044574,90.0
stable,modal-compact3,source_cv_recommended_juan_only,False,6,80_90,-5.055610700965265,7.318781204049365,18.838108652853236,1009.0756983044574,90.0
stable,modal-compact3,source_cv_recommended_juan_only,False,6,90,-5.673813064412779,8.027549447347024,18.838108652853236,1009.0756983044574,90.0
stable,modal-full4-svd,source_cv_recommended_juan_only,False,6,0_60,-1.873221220802077,2.8948654667335334,8.194251182326994,1100.4048518456054,60.0
stable,modal-full4-svd,source_cv_recommended_juan_only,False,6,70_90,-3.234113294418272,7.913948117489304,13.661763894695277,1100.4048518456054,80.0
stable,modal-full4-svd,source_cv_recommended_juan_only,False,6,80_90,-0.9410791719402036,7.77421073329194,13.661763894695277,1100.4048518456054,80.0
stable,modal-full4-svd,source_cv_recommended_juan_only,False,6,90,5.153715271288125,6.827235019610931,11.624657358961443,1132.6491752180323,90.0
stable,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,0_60,-1.4346567747506602,2.4191139005239273,7.137158867316231,824.3721884748535,60.0
stable,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,70_90,0.15736761044516376,10.861951966296152,22.135490145153504,412.18609423742674,90.0
stable,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,80_90,3.6442985653007987,12.32167900393754,22.135490145153504,412.18609423742674,90.0
stable,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,90,13.799775390950495,15.741138625549151,22.135490145153504,412.18609423742674,90.0
stable,profile-ring-full,source_cv_recommended_juan_only,False,6,0_60,-1.4347755780642666,2.4199333778366943,7.144143312104077,824.3721884748535,60.0
stable,profile-ring-full,source_cv_recommended_juan_only,False,6,70_90,0.15598807722429014,10.862141912831591,22.13545607778422,412.18609423742674,90.0
stable,profile-ring-full,source_cv_recommended_juan_only,False,6,80_90,3.6429715156761535,12.321341037457435,22.13545607778422,412.18609423742674,90.0
stable,profile-ring-full,source_cv_recommended_juan_only,False,6,90,13.799430492136162,15.739020325892486,22.13545607778422,412.18609423742674,90.0
wide-svd,modal-compact2,source_cv_recommended_juan_only,False,6,0_60,-0.3717596292081303,2.5260234143181357,9.841966745227836,1200.0,30.0
wide-svd,modal-compact2,source_cv_recommended_juan_only,False,6,70_90,-4.756881582798073,6.899720412018959,21.43670918031146,1009.0756983044574,90.0
wide-svd,modal-compact2,source_cv_recommended_juan_only,False,6,80_90,-5.207281166625966,7.909559426818912,21.43670918031146,1009.0756983044574,90.0
wide-svd,modal-compact2,source_cv_recommended_juan_only,False,6,90,-7.493532216122728,10.052234260957242,21.43670918031146,1009.0756983044574,90.0
wide-svd,modal-full2,source_cv_recommended_juan_only,False,6,0_60,-0.3266199274834523,2.49579914409972,9.861009474947224,1200.0,30.0
wide-svd,modal-full2,source_cv_recommended_juan_only,False,6,70_90,-4.78212027169134,6.951199455606648,21.3668819547604,1009.0756983044574,90.0
wide-svd,modal-full2,source_cv_recommended_juan_only,False,6,80_90,-5.318066177294003,8.009616887877225,21.3668819547604,1009.0756983044574,90.0
wide-svd,modal-full2,source_cv_recommended_juan_only,False,6,90,-7.742548749970262,10.170214263209289,21.3668819547604,1009.0756983044574,90.0
wide-svd,modal-compact3,source_cv_recommended_juan_only,False,6,0_60,-0.5703932493931474,2.529791496185531,9.304268222335793,1200.0,30.0
wide-svd,modal-compact3,source_cv_recommended_juan_only,False,6,70_90,-4.156481592258624,5.754511308063266,15.852038875601465,1009.0756983044574,90.0
wide-svd,modal-compact3,source_cv_recommended_juan_only,False,6,80_90,-3.9428329044303254,6.163840824501147,15.852038875601465,1009.0756983044574,90.0
wide-svd,modal-compact3,source_cv_recommended_juan_only,False,6,90,-4.5028891728980005,7.044979938905653,15.852038875601465,1009.0756983044574,90.0
wide-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,0_60,-1.3853243519711793,3.083017471366605,9.369432069384317,1200.0,30.0
wide-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,70_90,-2.2838730410376535,7.483637962835993,19.42452498171749,1132.6491752180323,90.0
wide-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,80_90,0.17169862459473548,7.541926859154536,19.42452498171749,1132.6491752180323,90.0
wide-svd,modal-full4-svd,source_cv_recommended_juan_only,False,6,90,6.324639162802903,7.98484737277289,19.42452498171749,1132.6491752180323,90.0
