rank,source_cv_set,source_cv_summary_csv,model_id,source_model,source_point_profile,active_surface_basis_kind,source_count,basis_count,juan_recommendation_status,juan_recommendation_reason,juan_cv_side_worst_fold_rms_db_300_1200,juan_in_sample_side_worst_norm_rms_db_300_1200,juan_in_sample_side_worst_abs_rms_db_300_1200,juan_in_sample_side_worst_phase_rms_deg_300_1200,source_offplane_case,source_offplane_z_offset_rms_db_70_90,source_offplane_z_offset_max_abs_db_70_90,source_offplane_spread_rms_db_70_90,source_offplane_spread_max_abs_db_70_90,source_offplane_spread_basis,source_offplane_spread_reference_case,source_offplane_eligible_reference_count,source_offplane_eligible_surface_max_abs_db_70_90,source_offplane_eligible_surface_max_abs_freq_hz_70_90,source_offplane_eligible_surface_max_abs_angle_deg_70_90,source_offplane_eligible_surface_low_case_70_90,source_offplane_eligible_surface_high_case_70_90,source_offplane_interpretation,stored_bem_label,stored_bem_evidence_scope,stored_bem_validation_hdf5,stored_bem_validation_driver,stored_bem_target_acceptance_status,stored_bem_target_kind,stored_bem_validation_hypothesis,stored_bem_target_published_explorer_match,stored_bem_acceptance_status,stored_bem_coverage_status,stored_bem_timing_status,stored_bem_shape_status,stored_bem_mesh_convergence_status,stored_bem_norm_rms_db_300_1200,stored_bem_through60_rms_db_300_1200,stored_bem_through80_rms_db_300_1200,stored_bem_worst_error_db_300_1200,stored_bem_worst_error_freq_hz_300_1200,stored_bem_worst_error_angle_deg_300_1200,andres_published_parity_bem_label,andres_published_parity_bem_evidence_scope,andres_published_parity_bem_validation_hdf5,andres_published_parity_bem_target_acceptance_status,andres_published_parity_bem_target_published_explorer_match,andres_published_parity_bem_acceptance_status,andres_published_parity_bem_coverage_status,andres_published_parity_bem_shape_status,andres_published_parity_bem_mesh_convergence_status,andres_published_parity_bem_source_offplane_gate_status,andres_published_parity_bem_passive_geometry_gate_status,andres_published_parity_bem_norm_rms_db_300_1200,andres_published_parity_bem_through80_rms_db_300_1200,andres_published_parity_bem_worst_error_db_300_1200,andres_published_parity_bem_worst_error_freq_hz_300_1200,andres_published_parity_bem_worst_error_angle_deg_300_1200,decision_status,decision_reason
1,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,axisymmetric-directivity-table-front-duplicate,axisymmetric-directivity,measured_axisymmetric_directivity,modal,13,13,diagnostic_only,Axisymmetric directivity-table propagation is a no-inversion diagnostic; it does not define a unique finite 3D source support for high-fidelity BEM source selection.,1.2292624299400832,0.5687227244669742,0.5687227244669747,68.0336051416609,axisymmetric-directivity,0.1468715002319266,0.33456916928948743,13.940443352410595,30.810741346434035,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `axisymmetric-directivity`; z=0 to UM-height normalized-polar change is 0.147 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 13.940 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",axisymmetric-directivity-juan-current,available_overlap_1000_1200_hz,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,not_proven,pass,not_proven,not_proven,5.767618249551149,2.987403994957611,3.3442313349670942,13.806735910012506,1000.1221500635147,90.0,,missing,,,,,,,,,,,,,,,diagnostic_only,This source family is diagnostic-only and is not a finite source support for BEM source selection.
2,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,diagnostic-legendre-o8,legendre,symmetric-depth-rings,modal,0,0,diagnostic_only,"Legendre angular smoothing can be useful as a diagnostic, but it is not a finite driver/source support for high-fidelity BEM source selection.",2.2006585177202242,9.203238235802512,9.144851283078523,62.25220610629696,not_applicable_diagnostic_only,nan,nan,nan,nan,,,nan,nan,nan,nan,,,Diagnostic-only source family is not eligible for acceptance; off-plane source ambiguity metrics are not required for source selection.,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,diagnostic_only,This source family is diagnostic-only and is not a finite source support for BEM source selection.
3,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-modal-compact2-az24-reg1e-06,split-profile-ring,h1659-modal-compact-2,modal,292,4,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.29837556830052,2.6313590599354084,2.5779584887807063,15.048220136071363,modal-compact2,0.15044402781619415,0.2627494768106615,13.248805448172181,26.478186253526836,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `modal-compact2`; z=0 to UM-height normalized-polar change is 0.150 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 13.249 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",compact2-h32-h21-h28-h18-targetavg7-meshtarget-conv-smoke,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,3.920340782071915,0.8749738364554617,3.4908258340486453,19.102446709579013,300.2929915487766,75.0,andres-published-parity-q7near-h50-h42,available_overlap_300_360_hz,output/data/polar_data_andres_early_peak_legacy.h5,pass,True,fail,not_proven,not_proven,not_proven,fail,pass,8.851768918305076,0.9891094632918785,28.243686515371273,331.4209010004997,90.0,rejected_by_full_band_bem,Passes Juan-only CV (3.298 dB) but the mapped full-band validation/BEM row fails shape at 3.920 dB.
4,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-modal-full2-az24-reg1e-06,split-profile-ring,h1659-modal-full-2,modal,484,4,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.3001618737677805,2.6822386556549738,2.628811786383559,15.13392272666505,modal-full2,0.15322473016207558,0.263674029164342,13.405858364716238,26.652087922511697,source_cv_recommended_juan_only,profile-ring-full-svd,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `modal-full2`; z=0 to UM-height normalized-polar change is 0.153 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full-svd`) is 13.406 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",q7near-solid-full2-h42-h36,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,4.2698012066711835,0.9703322864210585,3.5578246912926903,18.962716244888746,300.2929915487766,75.0,andres-published-parity-h1659-modal-full2-current,full_300_1200,output/data/polar_data_andres_early_peak_legacy.h5,pass,True,fail,pass,fail,pass,fail,pass,4.427824254358626,1.3773325158357488,24.92357351371195,334.7167997062206,90.0,rejected_by_full_band_bem,Passes Juan-only CV (3.300 dB) but the mapped full-band validation/BEM row fails shape at 4.270 dB.
5,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,measured-phase-h1659-modal-full2-az24-reg1e-06,split-profile-ring,h1659-modal-full-2,modal,484,4,rejected_bad_insample_fit,Juan in-sample side-worst normalized RMS 5.967 dB exceeds 3.000 dB.,3.4940176483861665,5.966672444121461,6.200199218100268,62.847174804023616,measured-modal-full2,0.2291663689418845,0.39669353250741324,16.00087153065002,33.526259172868734,source_cv_recommended_juan_only,profile-ring-full,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `measured-modal-full2`; z=0 to UM-height normalized-polar change is 0.229 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full`) is 16.001 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan in-sample side-worst normalized RMS 5.967 dB exceeds 3.000 dB.
6,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-modal-compact3-az24-reg1e-06,split-profile-ring,h1659-modal-compact-3,modal,438,6,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.768144015569058,2.2148930283780937,2.1835432699492974,14.029297746176718,modal-compact3,0.1368738954952514,0.26363277318562695,11.570124259132296,22.20466570384552,source_cv_recommended_juan_only,profile-ring-full-svd,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `modal-compact3`; z=0 to UM-height normalized-polar change is 0.137 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `profile-ring-full-svd`) is 11.570 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",q7near-solid-compact3-h42-h36,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,5.4097374895701495,2.0398707855815803,4.307663481719222,18.24775011418798,300.2929915487766,75.0,,missing,,,,,,,,,,,,,,,rejected_by_full_band_bem,Passes Juan-only CV (3.768 dB) but the mapped full-band validation/BEM row fails shape at 5.410 dB.
7,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-modal-full4-az24-reg1e-06-svd1e-05,split-profile-ring,h1659-modal-full-4,modal,968,8,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.799651035683976,1.050088912320182,1.0388725493052466,12.998901566223541,modal-full4-svd,0.10295195708225856,0.2830628503100101,8.946031939785813,22.808545864361633,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `modal-full4-svd`; z=0 to UM-height normalized-polar change is 0.103 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 8.946 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",q7near-solid-full4-svd-h42-h36,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,10.911274974145273,5.685330874155313,8.704727355677354,35.04509845565245,1166.0157182514668,90.0,,missing,,,,,,,,,,,,,,,rejected_by_full_band_bem,Passes Juan-only CV (3.800 dB) but the mapped full-band validation/BEM row fails shape at 10.911 dB.
8,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-ring-full-az24-reg1e-06-svd1e-05,split-profile-ring,h1659-acoustic-full,modal,242,12,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.841842676762428,1.0905265392069612,1.0303709149873315,12.298195305203269,profile-ring-full-svd,0.13897375984499982,0.39120280057495194,13.405858364716238,26.652087922511697,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `profile-ring-full-svd`; z=0 to UM-height normalized-polar change is 0.139 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 13.406 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",q7near-solid-profile-ring-full-svd-h42-h36,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,9.254419571680227,3.9957745967534115,6.695700095124166,34.63878513589462,938.9649185240269,90.0,,missing,,,,,,,,,,,,,,,rejected_by_full_band_bem,Passes Juan-only CV (3.842 dB) but the mapped full-band validation/BEM row fails shape at 9.254 dB.
9,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-ring-full-az24-reg1e-06,split-profile-ring,h1659-acoustic-full,modal,242,12,recommended_juan_only,"Passes Juan-only thresholds: failed folds <= 0, in-sample side-worst <= 3.000 dB, in-sample absolute side-worst <= 3.000 dB, in-sample phase side-worst <= 30.000 deg, held-out side-worst <= 4.000 dB.",3.8441835762148298,1.0902869353140128,1.0301010645195778,12.297853262050523,profile-ring-full,0.13902313990055462,0.3912257676931503,13.405845668712228,26.654627997485264,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `profile-ring-full`; z=0 to UM-height normalized-polar change is 0.139 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 13.406 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",q7near-solid-profile-ring-full-h42-h36,full_300_1200,output/data/polar_data_juan_lx521_top_raw.h5,L22MG (LX521 top raw),pass,juan_lx521_top_raw,juan_baffleless_to_juan_top_baffle_l22mg_raw,False,fail,pass,pass,fail,fail,9.264545445667453,4.0054126397805785,6.707052343951619,34.607535023198665,940.4297623932362,90.0,,missing,,,,,,,,,,,,,,,rejected_by_full_band_bem,Passes Juan-only CV (3.844 dB) but the mapped full-band validation/BEM row fails shape at 9.265 dB.
10,l22mg-source-model-cross-validation,docs/l22mg-source-model-cross-validation/source_cv_summary.csv,h1659-profile-ring-compact-az24-reg1e-06,split-profile-ring,h1659-acoustic-compact,modal,146,8,rejected_weak_cv,Juan held-out side-worst normalized RMS 4.090 dB exceeds 4.000 dB.,4.0900264152490715,1.0925572044675098,1.0328271344427737,12.28264666638224,profile-ring-compact,0.14052915182291403,0.3954159706436684,13.358444280999429,26.856013121715122,source_cv_recommended_juan_only,modal-full2,6.0,26.654627997485264,734.4321259827932,90.0,profile-ring-full,modal-full2,"Mapped off-plane source case `profile-ring-compact`; z=0 to UM-height normalized-polar change is 0.141 dB RMS over 70-90 deg; source-family spread against the Juan-CV recommended finite-source ensemble (worst reference `modal-full2`) is 13.358 dB RMS, above the 1.5 dB shape target; Juan horizontal polars do not uniquely constrain this off-plane incident field",,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,rejected_by_source_cv,Juan source evidence is rejected: Juan held-out side-worst normalized RMS 4.090 dB exceeds 4.000 dB.
