case,angle_group,angle_group_label,angle_count,frequency_count,rms_delta_db,mean_abs_delta_db,p95_abs_delta_db,max_abs_delta_db,max_signed_delta_db,max_abs_frequency_hz,max_abs_angle_deg
first-lobe-diagnostic-andres minus published-parity-andres,0deg,0 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,0.0
first-lobe-diagnostic-andres minus published-parity-andres,10deg,10 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,10.0
first-lobe-diagnostic-andres minus published-parity-andres,20deg,20 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,20.0
first-lobe-diagnostic-andres minus published-parity-andres,30deg,30 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,30.0
first-lobe-diagnostic-andres minus published-parity-andres,40deg,40 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,40.0
first-lobe-diagnostic-andres minus published-parity-andres,50deg,50 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,50.0
first-lobe-diagnostic-andres minus published-parity-andres,60deg,60 deg,1,2457,0.10606006597797835,0.08792857324198877,0.1850921630859375,0.35164642333984375,0.35164642333984375,1199.707104474306,60.0
first-lobe-diagnostic-andres minus published-parity-andres,70deg,70 deg,1,2457,11.126498736475973,8.698428846055723,22.580470275878902,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,80deg,80 deg,1,2457,6.678254226156891,4.698141403105087,12.79120407104492,29.745460510253906,-29.745460510253906,1067.5049452781677,80.0
first-lobe-diagnostic-andres minus published-parity-andres,90deg,90 deg,1,2457,10.24593237989958,7.812966539649203,25.325101089477535,26.635757446289062,26.635757446289062,316.0400403738022,90.0
legacy-strongest-andres minus published-parity-andres,0deg,0 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,0.0
legacy-strongest-andres minus published-parity-andres,10deg,10 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,10.0
legacy-strongest-andres minus published-parity-andres,20deg,20 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,20.0
legacy-strongest-andres minus published-parity-andres,30deg,30 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,30.0
legacy-strongest-andres minus published-parity-andres,40deg,40 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,40.0
legacy-strongest-andres minus published-parity-andres,50deg,50 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,50.0
legacy-strongest-andres minus published-parity-andres,60deg,60 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,60.0
legacy-strongest-andres minus published-parity-andres,70deg,70 deg,1,2457,10.077649918361624,8.182466864828468,20.89222106933593,26.501441955566406,-26.501441955566406,644.5312780439854,70.0
legacy-strongest-andres minus published-parity-andres,80deg,80 deg,1,2457,7.284417184270805,4.950518506010907,17.426251983642565,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,90deg,90 deg,1,2457,10.25974035468772,7.781943285130465,23.878815460205075,24.6171817779541,24.6171817779541,325.56152552366257,90.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,0deg,0 deg,1,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,0.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,10deg,10 deg,1,2457,0.12834780668161033,0.1156139142358635,0.19699930425746856,0.1980954795499983,0.1980954795499983,424.0722757279873,10.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,20deg,20 deg,1,2457,0.315589770445372,0.28874730056147213,0.47059114533426794,0.4736521403260099,0.4736521403260099,438.35450345277786,20.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,30deg,30 deg,1,2457,0.4052206607314474,0.35578373514932804,0.5955162292197272,0.6043907147234862,0.6043907147234862,1043.7012324035168,30.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,40deg,40 deg,1,2457,0.5751554983314167,0.40731434628776664,1.2505047187468321,1.270978092514376,1.270978092514376,1133.789130359888,40.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,50deg,50 deg,1,2457,1.0760811450410896,0.8138285200366598,2.60700351163357,2.6788577831892226,2.6788577831892226,1171.5088599920273,50.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,60deg,60 deg,1,2457,1.768266128797862,1.3423285699243293,4.594729738639699,5.606711931582161,5.606711931582161,1199.707104474306,60.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,70deg,70 deg,1,2457,7.56099881491382,6.8974341268152894,11.880676504429944,12.255992265938602,-12.255992265938602,300.2929687798023,70.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,80deg,80 deg,1,2457,3.6934662020467184,2.9990823885412334,6.615343763239769,6.652550513835806,-6.652550513835806,357.4218796789646,80.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,90deg,90 deg,1,2457,8.09395710456293,5.260082753108725,20.472844313804746,21.232682298715247,21.232682298715247,322.26562681794167,90.0
