case,angle_group,angle_group_label,angle_count,frequency_count,rms_delta_db,mean_abs_delta_db,p95_abs_delta_db,max_abs_delta_db,max_signed_delta_db,max_abs_frequency_hz,max_abs_angle_deg
first-lobe-diagnostic-andres minus published-parity-andres,0_90,0-90 deg,10,2457,5.228655971787146,2.1297465362052,11.743537521362304,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,10_90,10-90 deg,9,2457,5.5114873240961595,2.3663850402280002,12.44706726074217,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,0_60,through 60 deg,7,2457,0.040086936944690454,0.012561224748855538,0.09779739379882807,0.35164642333984375,0.35164642333984375,1199.707104474306,60.0
first-lobe-diagnostic-andres minus published-parity-andres,0_80,through 80 deg,9,2457,4.325753657900797,1.4982776469336443,9.831614685058584,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,60_90,60-90 deg,4,2457,8.267230986144238,5.324366340513,19.20939655303955,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,70_90,70-90 deg,3,2457,9.54597967690166,7.069845596270004,21.95404052734375,42.62724304199219,-42.62724304199219,639.0381135344505,70.0
first-lobe-diagnostic-andres minus published-parity-andres,80_90,80-90 deg,2,2457,8.648069433193083,6.255553971377145,21.571617507934544,29.745460510253906,-29.745460510253906,1067.5049452781677,80.0
legacy-strongest-andres minus published-parity-andres,0_90,0-90 deg,10,2457,5.097882244002519,2.091492865596984,12.451836776733398,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,10_90,10-90 deg,9,2457,5.373639711459404,2.3238809617744267,13.39045028686523,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,0_60,through 60 deg,7,2457,0.0,0.0,0.0,0.0,0.0,300.2929687798023,0.0
legacy-strongest-andres minus published-parity-andres,0_80,through 80 deg,9,2457,4.144899966512446,1.4592205967599305,9.783761596679682,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,60_90,60-90 deg,4,2457,8.060459567189106,5.2287321639924595,19.50189704895019,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,70_90,70-90 deg,3,2457,9.307417001817448,6.97164288532328,21.114383697509766,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
legacy-strongest-andres minus published-parity-andres,80_90,80-90 deg,2,2457,8.89733122515138,6.366230895570686,21.259477043151836,29.45876693725586,-29.45876693725586,1070.068422049284,80.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,0_90,0-90 deg,10,2457,3.757902748902575,1.8480215654660668,8.85423330541747,21.232682298715247,21.232682298715247,322.26562681794167,90.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,10_90,10-90 deg,9,2457,3.9611773039799854,2.0533572949622965,9.454252071091817,21.232682298715247,21.232682298715247,322.26562681794167,90.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,0_60,through 60 deg,7,2457,0.8363008196645301,0.4748023408850599,1.482167763227599,5.606711931582161,5.606711931582161,1199.707104474306,60.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,0_80,through 80 deg,9,2457,2.9003101192725076,1.4689036557279933,6.6514386859714385,12.255992265938602,-12.255992265938602,300.2929687798023,70.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,60_90,60-90 deg,4,2457,5.9044327072452125,4.124731959597393,11.96335499823733,21.232682298715247,21.232682298715247,322.26562681794167,90.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,70_90,70-90 deg,3,2457,6.740982551411288,5.052199756155082,12.613639007760668,21.232682298715247,21.232682298715247,322.26562681794167,90.0
direct-gate-0p8ms-diagnostic-andres minus published-parity-andres,80_90,80-90 deg,2,2457,6.291018764721901,4.129582570824979,16.468119811383698,21.232682298715247,21.232682298715247,322.26562681794167,90.0
