case,rank,frequency_hz,angle_deg,signed_delta_db,abs_delta_db
first-lobe-diagnostic-andres minus published-parity-andres,1,639.0381135344505,70.0,-42.62724304199219,42.62724304199219
first-lobe-diagnostic-andres minus published-parity-andres,2,638.6719025671482,70.0,-42.5146541595459,42.5146541595459
first-lobe-diagnostic-andres minus published-parity-andres,3,639.4043245017529,70.0,-42.51116371154785,42.51116371154785
first-lobe-diagnostic-andres minus published-parity-andres,4,638.3056915998459,70.0,-42.191162109375,42.191162109375
first-lobe-diagnostic-andres minus published-parity-andres,5,639.7705354690552,70.0,-42.182373046875,42.182373046875
first-lobe-diagnostic-andres minus published-parity-andres,6,637.9394806325436,70.0,-41.700992584228516,41.700992584228516
first-lobe-diagnostic-andres minus published-parity-andres,7,640.1367464363575,70.0,-41.68410110473633,41.68410110473633
first-lobe-diagnostic-andres minus published-parity-andres,8,637.5732696652412,70.0,-41.09718132019043,41.09718132019043
first-lobe-diagnostic-andres minus published-parity-andres,9,640.5029574036598,70.0,-41.069414138793945,41.069414138793945
first-lobe-diagnostic-andres minus published-parity-andres,10,637.2070586979389,70.0,-40.42820739746094,40.42820739746094
first-lobe-diagnostic-andres minus published-parity-andres,11,640.8691683709621,70.0,-40.387325286865234,40.387325286865234
first-lobe-diagnostic-andres minus published-parity-andres,12,636.8408477306366,70.0,-39.73130416870117,39.73130416870117
first-lobe-diagnostic-andres minus published-parity-andres,13,641.2353793382645,70.0,-39.675676345825195,39.675676345825195
first-lobe-diagnostic-andres minus published-parity-andres,14,636.4746367633343,70.0,-39.031803131103516,39.031803131103516
first-lobe-diagnostic-andres minus published-parity-andres,15,641.6015903055668,70.0,-38.96016311645508,38.96016311645508
first-lobe-diagnostic-andres minus published-parity-andres,16,636.108425796032,70.0,-38.345458984375,38.345458984375
first-lobe-diagnostic-andres minus published-parity-andres,17,641.9678012728691,70.0,-38.25716590881348,38.25716590881348
first-lobe-diagnostic-andres minus published-parity-andres,18,635.7422148287296,70.0,-37.68123817443848,37.68123817443848
first-lobe-diagnostic-andres minus published-parity-andres,19,642.3340122401714,70.0,-37.57608604431152,37.57608604431152
first-lobe-diagnostic-andres minus published-parity-andres,20,635.3760038614273,70.0,-37.043861389160156,37.043861389160156
first-lobe-diagnostic-andres minus published-parity-andres,21,642.7002232074738,70.0,-36.921560287475586,36.921560287475586
first-lobe-diagnostic-andres minus published-parity-andres,22,635.009792894125,70.0,-36.43510818481445,36.43510818481445
first-lobe-diagnostic-andres minus published-parity-andres,23,643.0664341747761,70.0,-36.29567337036133,36.29567337036133
first-lobe-diagnostic-andres minus published-parity-andres,24,634.6435819268227,70.0,-35.855186462402344,35.855186462402344
first-lobe-diagnostic-andres minus published-parity-andres,25,643.4326451420784,70.0,-35.69855880737305,35.69855880737305
first-lobe-diagnostic-andres minus published-parity-andres,26,634.2773709595203,70.0,-35.30318832397461,35.30318832397461
first-lobe-diagnostic-andres minus published-parity-andres,27,643.7988561093807,70.0,-35.129581451416016,35.129581451416016
first-lobe-diagnostic-andres minus published-parity-andres,28,633.911159992218,70.0,-34.77799987792969,34.77799987792969
first-lobe-diagnostic-andres minus published-parity-andres,29,644.165067076683,70.0,-34.587310791015625,34.587310791015625
first-lobe-diagnostic-andres minus published-parity-andres,30,633.5449490249157,70.0,-34.278053283691406,34.278053283691406
legacy-strongest-andres minus published-parity-andres,1,1070.068422049284,80.0,-29.45876693725586,29.45876693725586
legacy-strongest-andres minus published-parity-andres,2,1070.4346330165863,80.0,-29.38037872314453,29.38037872314453
legacy-strongest-andres minus published-parity-andres,3,1069.7022110819817,80.0,-29.367145538330078,29.367145538330078
legacy-strongest-andres minus published-parity-andres,4,1070.8008439838886,80.0,-29.139602661132812,29.139602661132812
legacy-strongest-andres minus published-parity-andres,5,1069.3360001146793,80.0,-29.117263793945312,29.117263793945312
legacy-strongest-andres minus published-parity-andres,6,1071.167054951191,80.0,-28.760421752929688,28.760421752929688
legacy-strongest-andres minus published-parity-andres,7,1068.969789147377,80.0,-28.73553466796875,28.73553466796875
legacy-strongest-andres minus published-parity-andres,8,1071.5332659184933,80.0,-28.275768280029297,28.275768280029297
legacy-strongest-andres minus published-parity-andres,9,1068.6035781800747,80.0,-28.255943298339844,28.255943298339844
legacy-strongest-andres minus published-parity-andres,10,1071.8994768857956,80.0,-27.71938705444336,27.71938705444336
legacy-strongest-andres minus published-parity-andres,11,1068.2373672127724,80.0,-27.711498260498047,27.711498260498047
legacy-strongest-andres minus published-parity-andres,12,1067.87115624547,80.0,-27.13028335571289,27.13028335571289
legacy-strongest-andres minus published-parity-andres,13,1072.265687853098,80.0,-27.120647430419922,27.120647430419922
legacy-strongest-andres minus published-parity-andres,14,1067.5049452781677,80.0,-26.533611297607422,26.533611297607422
