band,driver,frequency_points,fundamental_spl_median_db,fundamental_spl_p10_db,fundamental_spl_p90_db,has_distortion_data,measurement,sample,source_file,thd_median_db,thd_median_percent,thd_p90_db,thd_p90_percent
1-7 kHz,L10NEO,270,85.363,78.733,87.757,True,SEAS L10NEO A 0 F,A,measurements/juan/POLARES L10NEO/FRONTALES/SEAS L10NEO A 0 F.mdat,-54.694,0.1842,-47.847,0.4052
2-7 kHz,L10NEO,174,86.595,84.321,87.869,True,SEAS L10NEO A 0 F,A,measurements/juan/POLARES L10NEO/FRONTALES/SEAS L10NEO A 0 F.mdat,-56.11,0.1565,-53.664,0.2074
2-10 kHz,L10NEO,223,86.016,82.632,87.805,True,SEAS L10NEO A 0 F,A,measurements/juan/POLARES L10NEO/FRONTALES/SEAS L10NEO A 0 F.mdat,-55.949,0.1594,-52.98,0.2244
7-10 kHz,L10NEO,49,82.717,80.883,85.585,True,SEAS L10NEO A 0 F,A,measurements/juan/POLARES L10NEO/FRONTALES/SEAS L10NEO A 0 F.mdat,-53.935,0.201,-52.134,0.2474
1-7 kHz,SS10F8414G10,270,83.093,75.245,84.153,True,SS10F8414G10 0 F,single,measurements/juan/ScanSpeak 10F8414G10/SS10F8414G10 0 F.mdat,-55.041,0.177,-51.99,0.2515
2-7 kHz,SS10F8414G10,174,83.553,82.731,84.247,True,SS10F8414G10 0 F,single,measurements/juan/ScanSpeak 10F8414G10/SS10F8414G10 0 F.mdat,-54.16,0.1959,-49.771,0.3247
2-10 kHz,SS10F8414G10,223,83.411,82.414,84.236,True,SS10F8414G10 0 F,single,measurements/juan/ScanSpeak 10F8414G10/SS10F8414G10 0 F.mdat,-54.161,0.1959,-48.646,0.3696
7-10 kHz,SS10F8414G10,49,82.591,81.165,84.051,True,SS10F8414G10 0 F,single,measurements/juan/ScanSpeak 10F8414G10/SS10F8414G10 0 F.mdat,-54.452,0.1894,-45.705,0.5186
1-7 kHz,SS10F8424G00,270,83.576,75.933,86.299,True,SS10F8424G00 0 F,sn074,measurements/juan/ScanSpeak 10F8424G00/FRONT/SS10F8424G00 0 F sn 074.mdat,-55.388,0.17,-53.899,0.2019
2-7 kHz,SS10F8424G00,174,84.445,83.019,86.331,True,SS10F8424G00 0 F,sn074,measurements/juan/ScanSpeak 10F8424G00/FRONT/SS10F8424G00 0 F sn 074.mdat,-54.738,0.1833,-52.48,0.2377
2-10 kHz,SS10F8424G00,223,84.165,82.931,86.235,True,SS10F8424G00 0 F,sn074,measurements/juan/ScanSpeak 10F8424G00/FRONT/SS10F8424G00 0 F sn 074.mdat,-54.814,0.1817,-51.995,0.2513
7-10 kHz,SS10F8424G00,49,83.663,82.795,84.388,True,SS10F8424G00 0 F,sn074,measurements/juan/ScanSpeak 10F8424G00/FRONT/SS10F8424G00 0 F sn 074.mdat,-56.03,0.1579,-49.932,0.3187
1-7 kHz,SS10F8424G00,270,83.956,76.249,86.657,True,SS10F8424G00 0 F,SN086,measurements/juan/ScanSpeak 10F8424G00/PAIR MATCHING SPL/SS10F8424G00 0 F SN 086.mdat,-55.639,0.1652,-53.703,0.2065
2-7 kHz,SS10F8424G00,174,84.722,83.33,86.668,True,SS10F8424G00 0 F,SN086,measurements/juan/ScanSpeak 10F8424G00/PAIR MATCHING SPL/SS10F8424G00 0 F SN 086.mdat,-55.061,0.1766,-51.873,0.2549
2-10 kHz,SS10F8424G00,223,84.519,83.353,86.517,True,SS10F8424G00 0 F,SN086,measurements/juan/ScanSpeak 10F8424G00/PAIR MATCHING SPL/SS10F8424G00 0 F SN 086.mdat,-55.117,0.1755,-51.194,0.2756
7-10 kHz,SS10F8424G00,49,84.102,83.394,84.64,True,SS10F8424G00 0 F,SN086,measurements/juan/ScanSpeak 10F8424G00/PAIR MATCHING SPL/SS10F8424G00 0 F SN 086.mdat,-56.17,0.1554,-48.91,0.3586
1-7 kHz,MU10RB-SL,270,81.866,75.075,84.013,True,SEAS MU10RBSLA 0 F,A,measurements/juan/SEAS MU10RB SL POLARES/FRONT/SEAS MU10RBSL A 0 F.mdat,-45.425,0.5355,-43.333,0.6813
2-7 kHz,MU10RB-SL,174,82.9,80.673,84.612,True,SEAS MU10RBSLA 0 F,A,measurements/juan/SEAS MU10RB SL POLARES/FRONT/SEAS MU10RBSL A 0 F.mdat,-44.715,0.5811,-42.877,0.7181
2-10 kHz,MU10RB-SL,223,82.336,78.59,84.331,True,SEAS MU10RBSLA 0 F,A,measurements/juan/SEAS MU10RB SL POLARES/FRONT/SEAS MU10RBSL A 0 F.mdat,-44.592,0.5894,-42.638,0.7381
7-10 kHz,MU10RB-SL,49,78.666,77.504,81.306,True,SEAS MU10RBSLA 0 F,A,measurements/juan/SEAS MU10RB SL POLARES/FRONT/SEAS MU10RBSL A 0 F.mdat,-43.87,0.6405,-42.496,0.7502
