driver,band,front_dipole_rms_db,rear_dipole_rms_db,xc_separation_median_db,xc_separation_p10_db,sep_30_60_median_db,sep_30_60_p10_db,rear0_minus_front0_median_db,front90_minus_front0_median_db
L22MG (nude),650-2000 Hz,4.411,2.101,0.517,0.341,0.517,0.341,-0.746,-14.52
L22MG (nude),2-7 kHz,7.422,8.022,0.516,-0.353,0.516,-0.353,-7.915,-19.256
L22MG (nude),2-10 kHz,7.229,7.579,0.376,-0.411,0.376,-0.411,-7.516,-17.906
GRS PT6816,650-2000 Hz,0.633,0.247,0.367,0.351,0.367,0.351,-0.529,-37.905
GRS PT6816,2-7 kHz,1.459,1.2,0.406,0.329,0.406,0.329,-0.42,-35.392
GRS PT6816,2-10 kHz,1.725,1.72,0.418,0.337,0.418,0.337,-0.446,-34.87
L10NEO,650-2000 Hz,0.837,1.928,0.361,0.285,0.361,0.285,-1.995,-17.008
L10NEO,2-7 kHz,7.185,4.27,0.806,0.544,0.806,0.544,-3.151,-16.97
L10NEO,2-10 kHz,6.751,4.617,0.792,0.448,0.792,0.448,-3.444,-17.123
SS10F8414G10,650-2000 Hz,1.343,0.503,0.397,0.376,0.397,0.376,-0.471,-24.804
SS10F8414G10,2-7 kHz,5.971,4.511,0.719,0.414,0.719,0.414,-2.807,-20.332
SS10F8414G10,2-10 kHz,5.987,4.999,0.729,0.412,0.729,0.412,-3.25,-20.174
SS10F8424G00,650-2000 Hz,2.033,0.459,0.425,0.396,0.425,0.396,-0.393,-25.102
SS10F8424G00,2-7 kHz,5.224,5.373,0.623,0.397,0.623,0.397,-4.627,-23.241
SS10F8424G00,2-10 kHz,5.601,6.022,0.657,0.423,0.657,0.423,-4.799,-21.101
MU10RB-SL,650-2000 Hz,0.937,2.579,0.349,0.259,0.349,0.259,-1.297,-15.897
MU10RB-SL,2-7 kHz,6.282,4.371,0.738,0.604,0.738,0.604,-3.381,-18.344
MU10RB-SL,2-10 kHz,5.811,5.224,0.723,0.497,0.723,0.497,-3.952,-18.749
ND25FW4 (nude 18mm),650-2000 Hz,1.113,0.386,0.396,0.366,0.396,0.366,-0.247,-25.301
ND25FW4 (nude 18mm),2-7 kHz,1.82,0.913,0.395,0.344,0.395,0.344,-0.774,-28.125
ND25FW4 (nude 18mm),2-10 kHz,1.875,1.118,0.391,0.314,0.391,0.314,-0.847,-26.853
