driver,band,front_dipole_rms_db,rear_dipole_rms_db,sep_30_60_median_db,sep_30_60_p10_db,rear0_minus_front0_median_db,front90_minus_front0_median_db
L22MG (nude),650-2000 Hz,4.411,2.101,7.509,4.953,-0.746,-14.52
L22MG (nude),2-7 kHz,7.422,8.022,4.208,-2.878,-7.915,-19.256
L22MG (nude),2-10 kHz,7.229,7.579,3.932,-3.462,-7.516,-17.906
GRS PT6816,650-2000 Hz,0.633,0.247,5.34,5.13,-0.529,-37.905
GRS PT6816,2-7 kHz,1.459,1.2,5.865,4.933,-0.42,-35.392
GRS PT6816,2-10 kHz,1.725,1.72,6.052,5.056,-0.446,-34.87
L10NEO,650-2000 Hz,0.837,1.928,5.254,4.095,-1.995,-17.008
L10NEO,2-7 kHz,7.185,4.27,11.234,7.348,-3.151,-16.97
L10NEO,2-10 kHz,6.751,4.617,10.99,6.424,-3.444,-17.123
SS10F8414G10,650-2000 Hz,1.343,0.503,5.797,5.459,-0.471,-24.804
SS10F8414G10,2-7 kHz,5.971,4.511,9.936,5.782,-2.807,-20.332
SS10F8414G10,2-10 kHz,5.987,4.999,10.155,5.616,-3.25,-20.174
SS10F8424G00,650-2000 Hz,2.033,0.459,6.187,5.778,-0.393,-25.102
SS10F8424G00,2-7 kHz,5.224,5.373,8.741,5.605,-4.627,-23.241
SS10F8424G00,2-10 kHz,5.601,6.022,9.18,5.912,-4.799,-21.101
MU10RB-SL,650-2000 Hz,0.937,2.579,5.102,3.726,-1.297,-15.897
MU10RB-SL,2-7 kHz,6.282,4.371,10.393,8.55,-3.381,-18.344
MU10RB-SL,2-10 kHz,5.811,5.224,10.212,6.796,-3.952,-18.749
ND25FW4 (nude 18mm),650-2000 Hz,1.113,0.386,5.753,5.344,-0.247,-25.301
ND25FW4 (nude 18mm),2-7 kHz,1.82,0.913,5.76,4.953,-0.774,-28.125
ND25FW4 (nude 18mm),2-10 kHz,1.875,1.118,5.643,4.381,-0.847,-26.853
