state,test,status,project_sha256,slice_sha256,filament_lot,drying,nozzle,test_conditions,acceptance_limit_before_test,measured_value,units,evidence_path,operator,date,notes
floor_stand,registration_coupon,PENDING,,,,,,,,,,,,,
floor_stand,full_LM_fit,PENDING,,,,,,,,,,,,,
floor_stand,native_cover_section,PENDING,,,,,,,,,,,,,
floor_stand,support_removal,PENDING,,,,,,,,,,,,,
floor_stand,purge_GF_to_PLA,PENDING,,,,,,,,,,,,,
floor_stand,purge_PLA_to_GF,PENDING,,,,,,,,,,,,,
floor_stand,magnet_skin_section,PENDING,,,,,,,,,,,,,
floor_stand,magnetic_pull,PENDING,,,,,,,,,,,,,
floor_stand,M2_insert,PENDING,,,,,,,,,,,,,
floor_stand,M3_insert,PENDING,,,,,,,,,,,,,
floor_stand,M5_insert,PENDING,,,,,,,,,,,,,
floor_stand,cable_fishing,PENDING,,,,,,,,,,,,,
floor_stand,coplanarity,PENDING,,,,,,,,,,,,,
floor_stand,preload_creep,PENDING,,,,,,,,,,,,,
floor_stand,loaded_1h,PENDING,,,,,,,,,,,,,
floor_stand,loaded_24h,PENDING,,,,,,,,,,,,,
floor_stand,loaded_long_term,PENDING,,,,,,,,,,,,,
floor_stand,finished_photos,PENDING,,,,,,,,,,,,,
floor_stand,acoustic_baseline_comparison,PENDING,,,,,,,,,,,,,
no_floor_stand,registration_coupon,PENDING,,,,,,,,,,,,,
no_floor_stand,full_LM_fit,PENDING,,,,,,,,,,,,,
no_floor_stand,native_cover_section,PENDING,,,,,,,,,,,,,
no_floor_stand,support_removal,PENDING,,,,,,,,,,,,,
no_floor_stand,purge_GF_to_PLA,PENDING,,,,,,,,,,,,,
no_floor_stand,purge_PLA_to_GF,PENDING,,,,,,,,,,,,,
no_floor_stand,magnet_skin_section,PENDING,,,,,,,,,,,,,
no_floor_stand,magnetic_pull,PENDING,,,,,,,,,,,,,
no_floor_stand,M2_insert,PENDING,,,,,,,,,,,,,
no_floor_stand,M3_insert,PENDING,,,,,,,,,,,,,
no_floor_stand,M5_insert,PENDING,,,,,,,,,,,,,
no_floor_stand,cable_fishing,PENDING,,,,,,,,,,,,,
no_floor_stand,coplanarity,PENDING,,,,,,,,,,,,,
no_floor_stand,preload_creep,PENDING,,,,,,,,,,,,,
no_floor_stand,loaded_1h,PENDING,,,,,,,,,,,,,
no_floor_stand,loaded_24h,PENDING,,,,,,,,,,,,,
no_floor_stand,loaded_long_term,PENDING,,,,,,,,,,,,,
no_floor_stand,finished_photos,PENDING,,,,,,,,,,,,,
no_floor_stand,acoustic_baseline_comparison,PENDING,,,,,,,,,,,,,
