artifact_id,state,variant,part,print_orientation,group,sites,magnet_count,last_completely_open_layer_z_mm,cavity_bury_roof_start_plane_z_mm,first_closing_layer_z_mm,pause_marker_z_mm,minimum_seated_below_last_open_layer_mm,minimum_seated_below_first_closing_layer_mm,print_insertion_direction_xyz,insertion_instruction,stl,stl_sha256,gcode,gcode_sha256,audited_bambu_3mf,audited_bambu_3mf_sha256,ready_project,ready_project_output_fingerprint,discovery_gcode,discovery_gcode_sha256,discovery_bambu_3mf,discovery_bambu_3mf_sha256,bambu_arrange_rz_degrees,polarity
floor_stand:A:stock_shoulder_1_of_4_top_left,floor_stand,A,stock_shoulder_1_of_4_top_left,front_face_down,1,stock_upper_left_receiver,1,5.8,5.80,5.96,5.96,0.09999990000004377,0.2599999000000439,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_shoulder_1_of_4_top_left.stl,c226846fba25d831631e1ae83f2d20bd4229407e62ae8a196c1116f13d903091,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_1_of_4_top_left/ready/plate_1.gcode,c0af9749a0637df6e34db906676faaf20fa97bdd3cb097bd39d94b3b7b8b630f,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_1_of_4_top_left/ready/ready_to_print.gcode.3mf,fb22434a2d2bb85c986734a4ad9f631e19487315ae785b00050091633a61840b,True,ee86d45e7527c611620fa6f1c38f7b40bd3f6ba5cc52c009a3aa7091d852c54d,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_1_of_4_top_left/plate_1.gcode,a252c4de5192862ae23242b061215885f517a1b7441847f43ab269d3a6db88da,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_1_of_4_top_left/audited_slice_project.3mf,58149f0a539eddf8bb6b25b7c325952547523c1f5b01e831e151605b60aa6c34,0.0,"[{""site"":""stock_upper_left_receiver"",""print_marked_pole_axis_xyz"":[-0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[-0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:A:stock_shoulder_2_of_4_top_right,floor_stand,A,stock_shoulder_2_of_4_top_right,front_face_down,1,stock_upper_right_receiver,1,5.8,5.80,5.96,5.96,0.09999990000004377,0.2599999000000439,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_shoulder_2_of_4_top_right.stl,97d976c11078ed0a4e6e6f4f3862bbcd9042994b48a21ef5ee254f8f71fd838f,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_2_of_4_top_right/ready/plate_1.gcode,3729bb367cbaa57172db88c2fb8115360829b418855f8771f2664a0743582373,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_2_of_4_top_right/ready/ready_to_print.gcode.3mf,6057655f0363fc076dd9fbc2bd5eebef6c7f2ae99de685c014b4d2087610c2c6,True,81e4e0c8fe27ff6d3f6b4ea7bf9dfe0e057ac8a3f7ecd980316a5dd8504e0b54,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_2_of_4_top_right/plate_1.gcode,d1f278732464a62b32c10d4a37c8aa01f1269c64894f81d74948a7a6fca871da,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_2_of_4_top_right/audited_slice_project.3mf,b3a349b808e9f9a9860de6fe2a2f424e9576e890c1923fad683672ea29a011f9,0.0,"[{""site"":""stock_upper_right_receiver"",""print_marked_pole_axis_xyz"":[0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:A:stock_shoulder_3_of_4_bottom_left,floor_stand,A,stock_shoulder_3_of_4_bottom_left,front_face_down,1,stock_lower_left_receiver,1,5.8,5.80,5.96,5.96,0.10000000000003428,0.2600000000000344,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_shoulder_3_of_4_bottom_left.stl,498086f24109d792c45212144855bd570c06af4b5128fdca371a8cdb00960cf3,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_3_of_4_bottom_left/ready/plate_1.gcode,744bdc32e0a983fa537cc2249e610050790a53e4b5c49559d2df25be9a012d05,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_3_of_4_bottom_left/ready/ready_to_print.gcode.3mf,57d5abda66861125ff2d96ae50789533c02696918aa8660ca8724693996285c4,True,7b250798d69e6849e3a49efd56241bfe352b2e023c3f3fc0e82ca476bf20ddce,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_3_of_4_bottom_left/plate_1.gcode,b1be4895fa5f7427113b5aa898f3df43a71ffd6dccbb87c848bf8bbdada5f4de,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_3_of_4_bottom_left/audited_slice_project.3mf,887ce981c2faebcc9a292e9a9df6507c46fbc6ee3bbfc9ac93e5dc15088f1c64,0.0,"[{""site"":""stock_lower_left_receiver"",""print_marked_pole_axis_xyz"":[-0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[-0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:A:stock_shoulder_4_of_4_bottom_right,floor_stand,A,stock_shoulder_4_of_4_bottom_right,front_face_down,1,stock_lower_right_receiver,1,5.8,5.80,5.96,5.96,0.10000000000003428,0.2600000000000344,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_shoulder_4_of_4_bottom_right.stl,43fa254e1c788a6b9ec2170bf892955be8ec8321bc9aea0408f494038ea10792,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_4_of_4_bottom_right/ready/plate_1.gcode,50123c9eb21d5d2df94e20875ac63cd2fed71fc586a19ef273ffa199dad9b665,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_4_of_4_bottom_right/ready/ready_to_print.gcode.3mf,8307b469cd3e1c31e7014f7635dd2c7403ef25ced6eec3272fe5375b4244204f,True,061d9d16a7842f5a414b145dc1c660029767717fe410fabb3ec7787a77c34fe2,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_4_of_4_bottom_right/plate_1.gcode,fd6f250844e157904c5e2ea522d863c273044cd8ff054b3a3e82dc8fa1cd4fa0,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_A_stock_shoulder_4_of_4_bottom_right/audited_slice_project.3mf,7f20ca12fe6e2826be7e4b2b37cacc94aa67d0ba4653ef274c8780d6397921ee,0.0,"[{""site"":""stock_lower_right_receiver"",""print_marked_pole_axis_xyz"":[0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:B1:stock_wing_1_of_2_left,floor_stand,B1,stock_wing_1_of_2_left,front_face_down,1,stock_lower_left_receiver; stock_upper_left_receiver,2,5.8,5.80,5.96,5.96,0.09999990000004733,0.25999990000004747,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_wing_1_of_2_left.stl,7749a25921f930432d155f8988afe0dd8516f2b119560c11890f4f2a309794f1,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_1_of_2_left/ready/plate_1.gcode,38c965d78757f9affe82b6adec85e98ea328b4633cf2bdd43cef66883fdb1c0c,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_1_of_2_left/ready/ready_to_print.gcode.3mf,775a334ad169452d1d37e031a4c2faeb982cbe4f7c0f2e0803ab5f49499bb1d6,True,3adae0d4f890d65007f9725b0e33d38a3789a645da10b950e962fe0341c59827,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_1_of_2_left/plate_1.gcode,6fbf29711716d9da4a6cc3c8e760e8a3b0108f404e28c8515f67f8057572931b,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_1_of_2_left/audited_slice_project.3mf,193725ca13af70f7dfe1a834d4f6b5c7a12d41ccec0c0934b8a5ec5743daa954,0.0,"[{""site"":""stock_lower_left_receiver"",""print_marked_pole_axis_xyz"":[-0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[-0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""},{""site"":""stock_upper_left_receiver"",""print_marked_pole_axis_xyz"":[-0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[-0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:B1:stock_wing_2_of_2_right,floor_stand,B1,stock_wing_2_of_2_right,front_face_down,1,stock_lower_right_receiver; stock_upper_right_receiver,2,5.8,5.80,5.96,5.96,0.09999990000004377,0.2599999000000439,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_wing_2_of_2_right.stl,8da84750e2cff0075955bd8245831ebfc0ddfc97d9bc36e97789069cadf5d67b,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_2_of_2_right/ready/plate_1.gcode,4be96c002b70ab4e5dc8b0502c008d5c021714e0f6aff06503fe4c20d3af9f12,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_2_of_2_right/ready/ready_to_print.gcode.3mf,c29ed21423d4f8450b78c06abe2ff4555281d975b16e0fc8c4d3d169a8ce03ee,True,0dfb3ef1938a89f59c8b94b0810b900cef264a4d0ee6cae436e2a988e27065b1,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_2_of_2_right/plate_1.gcode,8252ce5c05c9849e887d326eb12b43b7cb57c3ce4b29f01bdf63b78bc49f719f,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B1_stock_wing_2_of_2_right/audited_slice_project.3mf,7850b7958157a623d76ada2017c0b19dacf463828e42bd815182f17337d7e007,0.0,"[{""site"":""stock_lower_right_receiver"",""print_marked_pole_axis_xyz"":[0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""},{""site"":""stock_upper_right_receiver"",""print_marked_pole_axis_xyz"":[0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points along the same installed pair-axis vector as the carrier magnet; the face toward the carrier is therefore the opposite pole""}]"
floor_stand:B2:stock_4_of_4_vase_b2,floor_stand,B2,stock_4_of_4_vase_b2,front_face_down,1,stock_lower_right_base; stock_lower_left_base; stock_upper_right_base; stock_upper_left_base,4,5.8,5.80,5.96,5.96,0.09999990000003667,0.2599999000000368,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/stock_4_of_4_vase_b2.stl,6c7b57df55b27ffa725e07d2d034f816f8350c86876d29a788fbc33ef0dfb25a,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B2_stock_4_of_4_vase_b2/ready/plate_1.gcode,d68da41effdef1d31610d9432c63895dee028cc3e702168663dece337a7df99b,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B2_stock_4_of_4_vase_b2/ready/ready_to_print.gcode.3mf,c3f66132799b666851a466a7f64933d0b4a7e86c3339854c1dc181cf6b4a65a0,True,568acefb53e4e4fafa4046fcf94d57eb0ab9fc42a375615602c8dc06f35cf495,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B2_stock_4_of_4_vase_b2/plate_1.gcode,5a54f750a076bf4a386ab8ca0249aa3dd82e58b93c7642eeda7da28bf8b6283f,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_B2_stock_4_of_4_vase_b2/audited_slice_project.3mf,871895765be30c32b67e8ef89967ead204ed901b1b24a6745fc3507e000bed71,0.0,"[{""site"":""stock_lower_right_base"",""print_marked_pole_axis_xyz"":[0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""stock_lower_left_base"",""print_marked_pole_axis_xyz"":[-0.9584785342953424,0.2851646880226448,0.0],""installed_marked_pole_axis_xyz"":[-0.9584785342953424,-0.2851646880226448,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""stock_upper_right_base"",""print_marked_pole_axis_xyz"":[0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""stock_upper_left_base"",""print_marked_pole_axis_xyz"":[-0.35021039696371,0.9366710617172503,0.0],""installed_marked_pole_axis_xyz"":[-0.35021039696371,-0.9366710617172503,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""}]"
floor_stand:Obi-Wan-split:obiwan_optional_lm_keyed_1_of_2_bottom,floor_stand,Obi-Wan-split,obiwan_optional_lm_keyed_1_of_2_bottom,front_face_down,1,lm_lower_left; lm_lower_right,2,5.8,5.80,5.96,5.96,0.0999999000000047,0.25999990000000484,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/obiwan_optional_lm_keyed_1_of_2_bottom.stl,508353732793ed358ee0d6004bc27882be6b8cb9760414b040348754337e965e,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_1_of_2_bottom/ready/plate_1.gcode,e48414ee1feeb7aceff4bc7d760e281dd3245b41b290d8d3c64fe5531c44f400,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_1_of_2_bottom/ready/ready_to_print.gcode.3mf,42d99847b829db3f4ceff07249d16b7752ac50b2da17edaf84d60e53e14f5116,True,7463bdbd59797c2ffbac2bd7bc5ee3dfadbb8c5328de0a9f53f9c0ab4400fb23,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_1_of_2_bottom/plate_1.gcode,cf9c76c8e7105157dc7617ba7453801b8008c57d979048cbb7305086c798594f,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_1_of_2_bottom/audited_slice_project.3mf,d594442f6a8368bb471bdbe2a2ebda7f6d3927e7d909a61f308d0d6d92d4c47c,0.0,"[{""site"":""lm_lower_left"",""print_marked_pole_axis_xyz"":[-0.9452165115184645,0.3264440937631809,0.0],""installed_marked_pole_axis_xyz"":[-0.7064513012709772,-0.7077616540421945,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""lm_lower_right"",""print_marked_pole_axis_xyz"":[0.32469193564684246,0.9458198279407695,0.0],""installed_marked_pole_axis_xyz"":[0.7064513012709772,-0.7077616540421945,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""}]"
floor_stand:Obi-Wan-split:obiwan_optional_lm_keyed_2_of_2_top,floor_stand,Obi-Wan-split,obiwan_optional_lm_keyed_2_of_2_top,front_face_down,1,lm_upper_left; lm_upper_right,2,5.8,5.80,5.96,5.96,0.09999990000001535,0.2599999000000155,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/obiwan_optional_lm_keyed_2_of_2_top.stl,2d56b8d9d393df23d383d53e2b319c913bfd4862e9c0b778c6dc8e3ef791f7ad,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_2_of_2_top/ready/plate_1.gcode,009bb8d860d65f75afe8a609e6e3b48e2363e9d03100c5462d85c71211c96dd7,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_2_of_2_top/ready/ready_to_print.gcode.3mf,5342ce3e516ae22cd59c9a4f31c53e92a13b3376cdcd831e5481cc5a3b95285d,True,e4ddc42e3673e0a4d36aaf4b1ada6c95d027f872cc812e2f7db90db6b7df9281,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_2_of_2_top/plate_1.gcode,297ca37bdaa093768eff4a3c99d6318e977427f7519e724f0bf9f09ca64120da,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan-split_obiwan_optional_lm_keyed_2_of_2_top/audited_slice_project.3mf,1e0978f05274b531572a0bc82cef11ddb0969162a671a9815067b8c762b6ec47,0.0,"[{""site"":""lm_upper_left"",""print_marked_pole_axis_xyz"":[0.3255681544571566,-0.9455185755993172,0.0],""installed_marked_pole_axis_xyz"":[-0.4383711467890776,0.8987940462991671,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""lm_upper_right"",""print_marked_pole_axis_xyz"":[0.9455185755993168,-0.32556815445715676,0.0],""installed_marked_pole_axis_xyz"":[0.43837114678907746,0.898794046299167,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""}]"
floor_stand:Obi-Wan:obiwan_core_2_of_2_um_carrier,floor_stand,Obi-Wan,obiwan_core_2_of_2_um_carrier,front_face_down,1,um_left; um_right,2,5.8,5.80,5.96,5.96,0.09999990000003667,0.2599999000000368,"[0.0,0.0,-1.0]",insert vertically downward from above the paused part (+Z side) through the open loading chimney along print -Z,/Users/antor/gh/lx/top_baffle_v2/build/floor_stand/stl/obiwan_core_2_of_2_um_carrier.stl,775e47af7a1ee0b0092762a3080c525e32259d98ba29c926ae17f3a089a8b340,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan_obiwan_core_2_of_2_um_carrier/ready/plate_1.gcode,a42730f28942adcca3dd0b41bc4ce833eeefbdb625bcb335b7fa1b8d70ad8bb5,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan_obiwan_core_2_of_2_um_carrier/ready/ready_to_print.gcode.3mf,7bb68b1c397c862349c5ea45af7585145ce1514b17e50757b6f7828ad37dd085,True,35519e7c725d39b15b4eaeab87515787cd856f47ecfcc83482336aaf7e80de31,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan_obiwan_core_2_of_2_um_carrier/plate_1.gcode,46f17b0b388ccbaa5c132da2832c5d8c85496f6b4f930156119c6f834aafa461,/Users/antor/gh/lx/top_baffle_v2/review/captive_magnet_slice_audit_06hf/slices/floor_stand_Obi-Wan_obiwan_core_2_of_2_um_carrier/audited_slice_project.3mf,211ae74c51a3ce60c84e56abef3785dc1f4ac057c6f08d97a8d03f4930c9494a,0.0,"[{""site"":""um_left"",""print_marked_pole_axis_xyz"":[-0.6360782202777641,-0.7716245833877199,0.0],""installed_marked_pole_axis_xyz"":[-0.6360782202777641,0.7716245833877199,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""},{""site"":""um_right"",""print_marked_pole_axis_xyz"":[0.636078220277764,-0.77162458338772,0.0],""installed_marked_pole_axis_xyz"":[0.636078220277764,0.77162458338772,0.0],""instruction"":""marked/N pole points OUT from carrier toward its mating piece, along installed_marked_pole_axis_xyz""}]"
